"Ano e mês do lançamento";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão Subordinado";"Nome Órgão Subordinado";"Código Unidade Gestora";"Nome Unidade Gestora";"Código Gestão";"Nome Gestão";"Código Unidade Orçamentária";"Nome Unidade Orçamentária";"Código Função";"Nome Função";"Código Subfução";"Nome Subfunção";"Código Programa Orçamentário";"Nome Programa Orçamentário";"Código Ação";"Nome Ação";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo";"UF";"Município";"Código Subtítulo";"Nome Subtítulo";"Código Localizador";"Nome Localizador";"Sigla Localizador";"Descrição Complementar Localizador";"Código Autor Emenda";"Nome Autor Emenda";"Código Categoria Econômica";"Nome Categoria Econômica";"Código Grupo de Despesa";"Nome Grupo de Despesa";"Código Elemento de Despesa";"Nome Elemento de Despesa";"Código Modalidade da Despesa";"Modalidade da Despesa";"Valor Empenhado (R$)";"Valor Liquidado (R$)";"Valor Pago (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"2025/01";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167102";"41 BATALHAO DE INFANTARIA MOTORIZADO";"00001";"TESOURO NACIONAL";"52921";"FUNDO DO EXERCITO";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"0007";"ATENDIMENTO MEDICO-HOSPITALAR - PARTICIPACAO DO MILITAR";"00";"Sem informação";"";"";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIO";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"90";"Aplicações Diretas";"98948,65";"0,00";"0,00";"0,00";"0,00";"42,53"
"2025/01";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo direto";"250059";"INSTITUTO NACIONAL DE CARDIOLOGIA";"00001";"TESOURO NACIONAL";"36901";"FUNDO NACIONAL DE SAUDE";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"5118";"ATENCAO ESPECIALIZADA A SAUDE";"8755";"APERFEICOAMENTO, AVALIACAO E DESENVOLVIMENTO DE ACOES E SERVICOS ESPECIALIZADOS EM CARDIOLOGIA-INC";"0000";"APERFEICOAMENTO, AVALIACAO E DESENVOLVIMENTO DE ACOES E SERVICOS ESPECIALIZADOS EM CARDIOLOGIA-INC";"00";"Sem informação";"RJ";"";"87550033";"APERFEICOAMENTO, AVALIACAO E DESENVOL - NO ESTADO DO RIO DE";"0033";"APERFEICOAMENTO, AVALIACAO E DESENVOL - NO ES";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"30";"Material de Consumo";"90";"Aplicações Diretas";"1296134,44";"447010,96";"0,00";"0,00";"0,00";"3252748,50"
"2025/01";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155010";"HOSPITAL UNIVERSITARIO DA UFMA";"26443";"EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES";"36901";"FUNDO NACIONAL DE SAUDE";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"5118";"ATENCAO ESPECIALIZADA A SAUDE";"8585";"ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE";"0000";"ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE - DESPESAS DIVERSAS";"00";"Sem informação";"MA";"";"85850021";"ATENCAO A SAUDE DA POPULACAO PARA PRO - NO ESTADO DO MARANHA";"0021";"ATENCAO A SAUDE DA POPULACAO PARA PRO - NO ES";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"30";"Material de Consumo";"90";"Aplicações Diretas";"1554747,71";"27898,00";"420,00";"0,00";"20102,33";"5134931,42"
"2025/01";"47000";"Ministério do Planejamento e Orçamento";"25205";"Fundação Instituto Brasileiro de Geografia e Estatística";"114601";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"11301";"FUNDACAO INSTITUTO BRAS.GEOGR. E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"Administração";"121";"Planejamento e orçamento";"2224";"PLANEJAMENTO E ORCAMENTO PARA O DESENVOLVIMENTO SUSTENTAVEL E INCLUSIVO";"20U6";"PESQUISAS E ESTUDOS ESTATISTICOS E GEOCIENTIFICOS";"000O";"DISSEMINACAO DE INFORMACOES ESTATISTICAS E GEOCIENTIFICAS";"00";"Sem informação";"";"";"20U60001";"PESQUISAS E ESTUDOS ESTATISTICOS E GE - NACIONAL";"0001";"PESQUISAS E ESTUDOS ESTATISTICOS E GE - NACIO";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"90";"Aplicações Diretas";"475,20";"0,00";"0,00";"0,00";"0,00";"8388,29"
"2025/01";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155014";"HOSPITAL UNIVERSITARIO ANA BEZERRA";"26443";"EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES";"36901";"FUNDO NACIONAL DE SAUDE";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"5118";"ATENCAO ESPECIALIZADA A SAUDE";"8585";"ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE";"0000";"ATENCAO A SAUDE DA POPULACAO PARA PROCEDIMENTOS EM MEDIA E ALTA COMPLEXIDADE - DESPESAS DIVERSAS";"00";"Sem informação";"RN";"";"85850024";"ATENCAO A SAUDE DA POPULACAO PARA PRO - NO ESTADO DO RIO GRA";"0024";"ATENCAO A SAUDE DA POPULACAO PARA PRO - NO ES";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"37";"Locação de Mão-de-Obra";"90";"Aplicações Diretas";"674000,00";"0,00";"0,00";"0,00";"0,00";"107778,39"
"2025/01";"-1";"Sem informação";"-3";"";"-3";"Inválido";"00001";"TESOURO NACIONAL";"35101";"MINISTERIO DAS RELACOES EXTERIORES";"07";"Relações exteriores";"211";"Relações diplomáticas";"2216";"POLITICA EXTERNA";"20WW";"RELACOES E NEGOCIACOES BILATERAIS";"000E";"SERVICOS E MANUTENCAO DO POSTO (SMP)";"00";"Sem informação";"";"";"20WW0002";"RELACOES E NEGOCIACOES BILATERAIS   - EXTERIOR";"0002";"RELACOES E NEGOCIACOES BILATERAIS   - EXTERIO";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"90";"Aplicações Diretas";"0,00";"0,00";"0,00";"-135467,50";"0,00";"0,00"
"2025/01";"26000";"Ministério da Educação";"26247";"Universidade Federal de Santa Maria";"153164";"UNIVERSIDADE FEDERAL DE SANTA MARIA";"15238";"UNIVERSIDADE FEDERAL DE SANTA MARIA - RS";"26247";"UNIVERSIDADE FEDERAL DE SANTA MARIA";"12";"Educação";"364";"Ensino superior";"5113";"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"0000";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"00";"Sem informação";"RS";"";"20GK0043";"FOMENTO AS ACOES DE GRADUACAO, POS-GR - NO ESTADO DO RIO GRA";"0043";"FOMENTO AS ACOES DE GRADUACAO, POS-GR - NO ES";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"18";"Auxílio Financeiro a Estudantes";"90";"Aplicações Diretas";"195140,00";"167578,69";"12162,54";"0,00";"0,00";"0,00"
"2025/01";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"765720";"HOSPITAL NAVAL MARCILIO DIAS";"00001";"TESOURO NACIONAL";"52131";"COMANDO DA MARINHA";"05";"Defesa nacional";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"0003";"ASSISTENCIA MEDICA E ODONTOLOGICA DE MILITARES - COMPLEMENTACAO DA UNIAO";"00";"Sem informação";"";"";"20040001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIONAL";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS - NACIO";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"90";"Aplicações Diretas";"3493018,06";"114839,99";"6295,30";"0,00";"0,00";"8458768,26"
"2025/01";"56000";"Ministério das Cidades";"29214";"Companhia Brasileira de Trens Urbanos";"275057";"CIA.BRASILEIRA DE TRENS URBANOS-STU/REC";"27209";"COMPANHIA BRASILEIRA DE TRENS URBANOS";"56202";"COMPANHIA BRASILEIRA DE TRENS URBANOS - CBTU";"15";"Urbanismo";"453";"Transportes coletivos urbanos";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2843";"FUNCIONAMENTO DOS SISTEMAS DE TRANSPORTE FERROVIARIO URBANO DE PASSAGEIROS";"0000";"FUNCIONAMENTO DOS SISTEMAS DE TRANSPORTE FERROVIARIO URBANO DE PASSAGEIROS";"00";"Sem informação";"";"";"28430001";"FUNCIONAMENTO DOS SISTEMAS DE TRANSPO - NACIONAL";"0001";"FUNCIONAMENTO DOS SISTEMAS DE TRANSPO - NACIO";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"93";"Indenizações e Restituições";"90";"Aplicações Diretas";"11913,27";"1257,49";"1257,49";"0,00";"0,00";"0,00"
"2025/01";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA DE ADMINISTRACAO/PR";"00001";"TESOURO NACIONAL";"20101";"PRESIDENCIA DA REPUBLICA";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"Sem informação";"";"";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"-1";"Sem informação";"";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"30";"Material de Consumo";"90";"Aplicações Diretas";"2552427,38";"552971,65";"313746,05";"0,00";"0,00";"469683,22"
